address_key,company_key,country_iso2_code,country_iso3_code,address1,address2,address3,city,zip_code,phone,comment
Address-1,Ottom_ltd,DE,"",Seeburger Str. 270,Block B,"",Berlin,10115,4908892450,HQ
Address-2,Ottom_ltd,DE,DEU,Seeburger Str. 270,Block C,5 floor,Berlin,10115,4908892455,""
Address-3,Ottom_ltd,DE,"",Seeburger Str. 270,Block A,3 floor,Berlin,10115,4908892455,""
Address-4,Ottom_ltd,DE,"",Ougust str. 43,"","",Berlin,10115,4908892452,""
Address-5,Ottom_ltd,NO,"",21 Av.,"","",Oslo,10,4708892453,""
Address-6,Ottom_ltd,GB,GBR,Oak str 5,13N,"",London,E1 6DU,4408892454,""
Address-7,27_Rif_Group,DE,"",Oderberger Str. 57,"","",Berlin,10115,4902890001,HQ
Address-8,27_Rif_Group,ES,ESP,Gurmont Str. 23,"","",Barcelona,8002,3490284322,""
Address-9,27_Rif_Group,CH,CHE,Soderby Str. 23,"","",Zurich,8004,4102890118,""
Address-10,27_Rif_Group,CH,CHE,Soderby Str. 23,"","",Zurich,8004,4102890119,""
Address-11,27_Rif_Group,CH,CHE,Soderby Str. 23,"","",Zurich,8004,4102890120,""
Address-12,27_Rif_Group,DE,DEU,Lirncher Str. 3,"","",Berlin,10178,4902890021,""
Address-13,27_Rif_Group,DE,DEU,Kirncher Str. 7,"","",Berlin,10247,4902890031,""
