"Add Merchant","Add Merchant"
"Back to Merchants","Back to Merchants"
"Edit Merchant","Edit Merchant"
"Edit Merchant:","Edit Merchant:"
"List of Merchants","List of merchants"
"Merchant created successfully.","Merchant created successfully."
"Merchant has not been created.","Merchant has not been created."
"Merchant Id","Merchant Id"
"Merchant updated successfully.","Merchant updated successfully."
"Merchant with id %s doesn't exists.","Merchant with id %s doesn't exists."
"Overview of Merchants","Overview of Merchants"
Save,Save
waiting-for-approval,"waiting for approval"
approved,approved
active,active
inactive,inactive
E-Mail,E-Mail
City,City
"Zip Code","Zip Code"
Country,Country
Street,Street
Number,Number
"Addition to address","Addition to address"
Name,Name
"Registration number","Registration number"
"Contact person first name","Contact person first name"
"Contact person last name","Contact person last name"
"Contact person phone","Contact person phone"
"Contact person title","Contact person title"
Email,Email
